id,year,player_name,image,player_id,height,weight,collage,born,birth_city,birth_state,position,age,team,g,gs,mp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,rtb,ast,stl,blk,tov,pf,pts,championships,mvps,allstar_selections,all_nba
14284,1999,Steve Nash,https://www.bpmcdn.com/f/files/victoria/import/2018-03/11235020_web1_Steve-Nash_Flickr.jpg,2491,190,88,Santa Clara University,1974,Johannesburg,South Africa,PG,24,DAL,40,40,1269,114,314,49,131,65,183,38,46,32,82,114,219,37,2,83,98,315,0,2,8,7
14289,1999,Dirk Nowitzki,"https://media.bleacherreport.com/image/upload/q_auto,w_1500,c_scale,f_auto/v1676673768/ehplcawwxao6uioiet2f.jpg",2626,213,111,,1978,Wurzburg,Germany,PF,20,DAL,47,24,958,136,336,14,68,122,268,99,128,41,121,162,47,29,27,73,105,385,1,1,14,12
14292,1999,Shaquille O'Neal,https://media.gettyimages.com/id/51048945/photo/los-angeles-united-states-this-05-june-2002-file-photo-shows-shaquille-oneal-of-the-los-angeles.jpg?s=612x612&w=gi&k=20&c=pn5--PXxmoku2SmA9mq-1my1bxc-FmFHO0uad8ZCkFA=,2222,216,147,Louisiana State University,1972,Newark,New Jersey,C,26,LAL,49,49,1705,510,885,0,1,510,884,269,498,187,338,525,114,36,82,122,155,1289,4,1,15,14
14294,1999,Hakeem Olajuwon,https://wallpapers.com/images/hd/hakeem-olajuwon-eye-goggles-mmzsgu44ggan26s2.jpg,1679,213,115,University of Houston,1963,Lagos,Nigeria,C,36,HOU,50,50,1784,373,725,4,13,369,712,195,272,106,372,478,88,82,123,139,160,945,1,1,12,12
14323,1999,Paul Pierce,https://www.nbc.com/sites/nbcblog/files/styles/scale_862/public/2024/03/paul-pierce-boston-celtics2.jpg,2630,201,106,University of Kansas,1977,Oakland,California,SF,21,BOS,48,47,1632,284,647,84,204,200,443,139,195,117,192,309,115,82,50,113,139,791,1,0,10,4
14324,1999,Scottie Pippen,https://c8.alamy.com/comp/2M7GF8C/nba-basketball-scottie-pippen-chicago-bulls-1997-nba-finals-2M7GF8C.jpg,1869,203,95,University of Central Arkansas,1965,Hamburg,Arkansas,SF,33,HOU,50,50,2011,261,604,72,212,189,392,132,183,63,260,323,293,98,37,159,118,726,6,0,6,7
14352,1999,David Robinson,https://media.gettyimages.com/id/938270360/photo/los-angeles-david-robinson-of-the-san-antonio-spurs-looks-on-during-a-game-against-the-los.jpg?s=612x612&w=gi&k=20&c=IK5FVnLQ83e5KTj-tKcHWcc7GnU8DNbwuK8TVWTRWyM=,2031,216,106,United States Naval Academy,1965,Key West,Florida,C,33,SAS,49,49,1554,268,527,0,1,268,526,239,363,148,344,492,103,69,119,108,143,775,2,1,10,10
14357,1999,Dennis Rodman,https://i.pinimg.com/736x/84/0c/66/840c662ffc16cd140a8b8745ae92ff31.jpg,1811,201,95,Southeastern Oklahoma State University,1961,Trenton,New Jersey,PF,37,LAL,23,11,657,16,46,0,2,16,44,17,39,62,196,258,30,10,12,31,71,49,5,0,2,2
14397,1999,John Stockton,https://wallpapers.com/images/hd/john-stockton-peace-sign-z0qni4ybv8ltm7dy.jpg,1692,185,77,Gonzaga University,1962,Spokane,Washington,PG,36,UTA,50,50,1410,200,410,16,50,184,360,137,169,31,115,146,374,81,13,110,107,553,0,0,10,11
14398,1999,Peja Stojakovic,https://media.gettyimages.com/id/1172519379/photo/sacramento-kings-forward-guard-peja-stojakovic-pumps-his-fist-after-sinking-a-three-pointer.jpg?s=612x612&w=gi&k=20&c=tDzbg6JPhOeY9_NuCRMZQPe74UDqodyM6nZEo_jBQT0=,2638,206,99,,1977,Slavoska Pozega,Croatia,SF,21,SAC,48,1,1025,141,373,57,178,84,195,63,74,43,100,143,72,41,7,53,43,402,1,0,3,1
14426,1999,Rasheed Wallace,https://media.gettyimages.com/id/83274614/photo/auburn-hills-mi-rasheed-wallace-of-the-detroit-pistons-poses-for-a-portrait-during-nba-media.jpg?s=612x612&w=gi&k=20&c=g33nn0OlyMxz8nHwW9hnxMOQqlPEB3ga4rneJe_4O1Q=,2443,208,102,University of North Carolina,1974,Philadelphia,Pennsylvania,PF,24,POR,49,18,1414,242,476,13,31,229,445,131,179,57,184,241,60,48,54,80,175,628,1,0,4,0
14432,1999,Chris Webber,https://media.gettyimages.com/id/1242438926/photo/sacramento-ca-chris-webber-of-the-sacramento-kings-prepares-to-shoot-a-free-throw-during-a.jpg?s=612x612&w=gi&k=20&c=jK9C2L5VDkr_E9FmBfdHEZ2a2r1WBZ1xEzh-FN92f6E=,2311,206,111,University of Michigan,1973,Detroit,Michigan,PF,25,SAC,42,42,1719,378,778,4,34,374,744,79,174,149,396,545,173,60,89,148,145,839,0,0,5,5
14442,1999,Dominique Wilkins,https://wallpapers.com/images/hd/dominique-wilkins-slam-dunk-vintage-photography-5fy7ggo6niycrczg.jpg,1588,201,90,University of Georgia,1960,Paris,France,SF,39,ORL,27,2,252,50,132,5,19,45,113,29,42,30,41,71,16,4,1,23,19,134,0,0,9,1
14475,2000,Ray Allen,https://media.gettyimages.com/id/145777952/photo/miami-fl-ray-allen-of-the-boston-celtics-reacts-in-the-fourth-quarter-against-the-miami-heat.jpg?s=612x612&w=gi&k=20&c=xf7rkgotihfK1-SMOsbZ3xjJghAcNesSxmaQ_AxozXQ=,2450,203,99,Florida State University,1965,Milton,Florida,SG,24,MIL,82,82,3070,642,1411,172,407,470,1004,353,398,83,276,359,308,110,19,183,187,1809,2,0,10,2
14493,2000,Charles Barkley,https://thumbs.dreamstime.com/b/charles-barkley-phoenix-suns-charles-barkley-phoenix-suns-game-action-regular-season-nba-game-149656161.jpg,1651,198,114,Auburn University,1963,Leeds,Alabama,PF,36,HOU,20,18,620,106,222,6,26,100,196,71,110,71,138,209,63,14,4,44,48,289,0,1,11,11
14537,2000,Kobe Bryant,https://media.gettyimages.com/id/139369178/photo/phoenix-az-kobe-bryant-of-the-los-angeles-lakers-adjusts-his-jersey-during-the-nba-game.jpg?s=612x612&w=gi&k=20&c=M0YYaiFg29H64rWFo8feDwWwQLYkToyORpBZB6aMZj0=,2456,198,96,,1978,Philadelphia,Pennsylvania,SG,21,LAL,66,62,2524,554,1183,46,144,508,1039,331,403,108,308,416,323,106,62,182,220,1485,5,1,18,15
14553,2000,Vince Carter,https://media.gettyimages.com/id/470135913/photo/houston-tx-vince-carter-of-the-toronto-raptors-during-the-game-against-the-houston-rockets-on.jpg?s=612x612&w=gi&k=20&c=CjGd1yr9Db5GCIiLB-HQvyAfGmTf72VIExwijyKByK4=,2590,198,99,University of North Carolina,1977,Daytona Beach,Florida,SF,23,TOR,82,82,3126,788,1696,95,236,693,1460,436,551,150,326,476,322,110,92,178,263,2107,0,0,8,2
14607,2000,Tim Duncan,https://media.gettyimages.com/id/169000810/photo/oakland-ca-tim-duncan-of-the-san-antonio-spurs-looks-on-against-the-golden-state-warriors-in.jpg?s=612x612&w=gi&k=20&c=1YAGmYVqH2I-KYQctp4tToTWsKHFNBY_XwvTsq1yv1s=,2535,211,113,Wake Forest University,1976,St. Croix,U.S. Virgin Islands,PF,23,SAS,74,74,2875,628,1281,1,11,627,1270,459,603,262,656,918,234,66,165,242,210,1716,2,5,15,15
14632,2000,Kevin Garnett,https://media.gettyimages.com/id/91224687/photo/waltham-ma-kevin-garnett-of-the-boston-celtics-poses-for-a-portrait-during-the-2009-nba-media.jpg?s=612x612&w=gi&k=20&c=M6FHd20k5WCgJO_P2SCQzA0NavV3Enn4l1jhReq1l40=,2401,211,108,,1976,Mauldin,South Carolina,PF,23,MIN,81,81,3243,759,1526,30,81,729,1445,309,404,223,733,956,401,120,126,268,205,1857,1,1,15,9
14655,2000,Anfernee Hardaway,https://media.gettyimages.com/id/493617392/photo/oakland-ca-penny-hardaway-of-the-orlando-magic-dribbles-against-the-golden-state-warriors-on.jpg?s=612x612&w=gi&k=20&c=bcaEgtOGyoxn1hpbJoo0VW9TAJVeAvP-EiCHHtNX3Kc=,2272,201,88,University of Memphis,1971,Memphis,Tennessee,SG,28,PHO,60,60,2253,378,798,33,102,345,696,226,286,91,256,347,315,94,38,153,164,1015,0,0,4,3
14656,2000,Tim Hardaway,https://media.gettyimages.com/id/587758428/photo/sacramento-ca-tim-hardaway-of-the-golden-state-warriors-looks-on-against-the-sacramento-kings.jpg?s=612x612&w=gi&k=20&c=9xaTlLaGLwRFvveqeQ-TdtYStxDMOyXU7SRp4Es-jto=,1994,183,79,University of Texas at El Paso,1966,Chicago,Illinois,PG,33,MIA,52,52,1672,246,638,94,256,152,382,110,133,25,125,150,385,49,4,119,112,696,0,0,5,4
14671,2000,Grant Hill,https://media.gettyimages.com/id/929748012/photo/phoenix-grant-hill-of-the-detroit-pistons-smiles-circa-1997-at-america-west-arena-in-phoenix.jpg?s=612x612&w=gi&k=20&c=pV3vMkkqEdICi27KrNjRMO3e-o4gnCEjyfnxaik-rYw=,2332,203,102,Duke University,1972,Dallas,Texas,SF,27,DET,74,74,2776,696,1422,34,98,662,1324,480,604,97,393,490,385,103,43,240,190,1906,0,0,7,5
14685,2000,Allen Iverson,https://media.gettyimages.com/id/1934811800/photo/allen-iverson-shooting-guard-and-point-guard-for-the-philadelphia-76ers-looks-on-with-hands.jpg?s=612x612&w=gi&k=20&c=5oKUqo8YjnrvoECqfIE5zSPWxWR4o96og9WA8ECUzac=,2479,183,74,Georgetown University,1975,Hampton,Virginia,SG,24,PHI,70,70,2853,729,1733,89,261,640,1472,442,620,71,196,267,328,144,5,230,162,1989,0,1,11,6
14715,2000,Shawn Kemp,https://media.gettyimages.com/id/359833/photo/seattle-forward-shawn-kemp-during-the-supersonics-game-at-the-denver-nuggets.jpg?s=612x612&w=gi&k=20&c=I5FjoX6P1HOqYZRRxvGSrFW7v_Zm3Q9AGM7EGyQOMd8=,2001,208,104,Trinity Valley Community College,1969,Elkhart,Indiana,C,30,CLE,82,82,2492,484,1160,2,6,482,1154,493,635,231,494,725,138,100,96,291,371,1463,0,0,6,3
14721,2000,Jason Kidd,https://media.gettyimages.com/id/1312307558/photo/jason-kidd-point-guard-and-shooting-guard-for-the-phoenix-suns-dribbles-the-basketball-down.jpg?s=612x612&w=gi&k=20&c=_2MQkEDTA45C88I5CkCgBMFbA4auk4tUUA_-8B4MzpI=,2337,193,92,University of California,1973,San Francisco,California,PG,26,PHO,67,67,2616,350,855,56,166,294,689,203,245,96,387,483,678,134,28,226,148,959,1,0,10,6
14753,2000,Karl Malone,https://wallpapers.com/images/featured/karl-malone-ekdfjwnwcvpaufvb.jpg,1737,206,113,Louisiana Tech University,1963,Summerfield,Louisiana,PF,36,UTA,82,82,2947,752,1476,2,8,750,1468,589,739,169,610,779,304,79,71,231,229,2095,0,2,14,14
14770,2000,Tracy McGrady,https://media.gettyimages.com/id/121661997/photo/tracy-mcgrady-of-the-houston-rockets-brings-the-ball-up-the-court-during-the-nba-game-between.jpg?s=612x612&w=gi&k=20&c=EvDFApi3tgyRHX7Hy2mPufUdWei63kcPyAk2mR3V3pw=,2555,203,95,,1979,Bartow,Florida,SF,20,TOR,79,34,2462,459,1018,18,65,441,953,277,392,188,313,501,263,90,151,160,201,1213,0,0,7,7
14783,2000,Reggie Miller,https://wallpapers.com/images/hd/reggie-miller-indiana-shoot-vnbfi2h97c44vm4i.jpg,1862,201,83,"University of California, Los Angeles",1965,Riverside,California,SG,34,IND,81,81,2987,466,1041,165,404,301,637,373,406,50,189,239,187,85,25,129,126,1470,0,0,5,3
14799,2000,Steve Nash,https://www.bpmcdn.com/f/files/victoria/import/2018-03/11235020_web1_Steve-Nash_Flickr.jpg,2491,190,88,Santa Clara University,1974,Johannesburg,South Africa,PG,25,DAL,56,27,1532,173,363,60,149,113,214,75,85,34,87,121,272,37,3,102,122,481,0,2,8,7
14804,2000,Dirk Nowitzki,"https://media.bleacherreport.com/image/upload/q_auto,w_1500,c_scale,f_auto/v1676673768/ehplcawwxao6uioiet2f.jpg",2626,213,111,,1978,Wurzburg,Germany,PF,21,DAL,82,81,2938,515,1118,116,306,399,812,289,348,102,430,532,203,63,68,141,256,1435,1,1,14,12
14806,2000,Shaquille O'Neal,https://media.gettyimages.com/id/51048945/photo/los-angeles-united-states-this-05-june-2002-file-photo-shows-shaquille-oneal-of-the-los-angeles.jpg?s=612x612&w=gi&k=20&c=pn5--PXxmoku2SmA9mq-1my1bxc-FmFHO0uad8ZCkFA=,2222,216,147,Louisiana State University,1972,Newark,New Jersey,C,27,LAL,79,79,3163,956,1665,0,1,956,1664,432,824,336,742,1078,299,36,239,223,255,2344,4,1,15,14
14809,2000,Hakeem Olajuwon,https://wallpapers.com/images/hd/hakeem-olajuwon-eye-goggles-mmzsgu44ggan26s2.jpg,1679,213,115,University of Houston,1963,Lagos,Nigeria,C,37,HOU,44,28,1049,193,421,0,2,193,419,69,112,65,209,274,61,41,70,73,88,455,1,1,12,12
14834,2000,Paul Pierce,https://www.nbc.com/sites/nbcblog/files/styles/scale_862/public/2024/03/paul-pierce-boston-celtics2.jpg,2630,201,106,University of Kansas,1977,Oakland,California,SF,22,BOS,73,72,2583,486,1099,96,280,390,819,359,450,83,313,396,221,152,62,178,237,1427,1,0,10,4
14835,2000,Scottie Pippen,https://c8.alamy.com/comp/2M7GF8C/nba-basketball-scottie-pippen-chicago-bulls-1997-nba-finals-2M7GF8C.jpg,1869,203,95,University of Central Arkansas,1965,Hamburg,Arkansas,SF,34,POR,82,82,2749,388,860,86,263,302,597,160,223,114,399,513,406,117,41,208,208,1022,6,0,6,7
14859,2000,David Robinson,https://media.gettyimages.com/id/938270360/photo/los-angeles-david-robinson-of-the-san-antonio-spurs-looks-on-during-a-game-against-the-los.jpg?s=612x612&w=gi&k=20&c=IK5FVnLQ83e5KTj-tKcHWcc7GnU8DNbwuK8TVWTRWyM=,2031,216,106,United States Naval Academy,1965,Key West,Florida,C,34,SAS,80,80,2557,528,1031,0,2,528,1029,371,511,193,577,770,142,97,183,164,247,1427,2,1,10,10
14862,2000,Dennis Rodman,https://i.pinimg.com/736x/84/0c/66/840c662ffc16cd140a8b8745ae92ff31.jpg,1811,201,95,Southeastern Oklahoma State University,1961,Trenton,New Jersey,PF,38,DAL,12,12,389,12,31,0,1,12,30,10,14,48,123,171,14,2,1,19,41,34,5,0,2,2
14895,2000,John Stockton,https://wallpapers.com/images/hd/john-stockton-peace-sign-z0qni4ybv8ltm7dy.jpg,1692,185,77,Gonzaga University,1962,Spokane,Washington,PG,37,UTA,82,82,2432,363,725,43,121,320,604,221,257,45,170,215,703,143,15,179,192,990,0,0,10,11
14896,2000,Peja Stojakovic,https://media.gettyimages.com/id/1172519379/photo/sacramento-kings-forward-guard-peja-stojakovic-pumps-his-fist-after-sinking-a-three-pointer.jpg?s=612x612&w=gi&k=20&c=tDzbg6JPhOeY9_NuCRMZQPe74UDqodyM6nZEo_jBQT0=,2638,206,99,,1977,Slavoska Pozega,Croatia,SF,22,SAC,74,11,1749,321,717,100,267,221,450,135,153,74,202,276,106,52,7,88,97,877,1,0,3,1
14934,2000,Rasheed Wallace,https://media.gettyimages.com/id/83274614/photo/auburn-hills-mi-rasheed-wallace-of-the-detroit-pistons-poses-for-a-portrait-during-nba-media.jpg?s=612x612&w=gi&k=20&c=g33nn0OlyMxz8nHwW9hnxMOQqlPEB3ga4rneJe_4O1Q=,2443,208,102,University of North Carolina,1974,Philadelphia,Pennsylvania,PF,25,POR,81,77,2845,542,1045,8,50,534,995,233,331,129,437,566,142,87,107,157,216,1325,1,0,4,0
14938,2000,Chris Webber,https://media.gettyimages.com/id/1242438926/photo/sacramento-ca-chris-webber-of-the-sacramento-kings-prepares-to-shoot-a-free-throw-during-a.jpg?s=612x612&w=gi&k=20&c=jK9C2L5VDkr_E9FmBfdHEZ2a2r1WBZ1xEzh-FN92f6E=,2311,206,111,University of Michigan,1973,Detroit,Michigan,PF,26,SAC,75,75,2880,748,1548,27,95,721,1453,311,414,189,598,787,345,120,128,218,264,1834,0,0,5,5
14974,2001,Ray Allen,https://media.gettyimages.com/id/145777952/photo/miami-fl-ray-allen-of-the-boston-celtics-reacts-in-the-fourth-quarter-against-the-miami-heat.jpg?s=612x612&w=gi&k=20&c=xf7rkgotihfK1-SMOsbZ3xjJghAcNesSxmaQ_AxozXQ=,2450,203,99,Florida State University,1965,Milton,Florida,SG,25,MIL,82,82,3129,628,1309,202,467,426,842,348,392,101,327,428,374,124,20,204,192,1806,2,0,10,2
